month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2025-03,63964584.0,58816327.10009268,161014.0,354680.0,0.0,1980000.0,356400.0,97.5,2.0,990000.0,2025,3,2025_03,8.0,23.0
2025-04,67694265.85714285,57630054.20018536,161014.0,354680.0,0.0,2042857.142857143,367714.28571428574,22.285714285714285,2.7142857142857144,750714.2857142857,2025,4,2025_04,24.0,6.0
2025-05,69219736.16666667,57630054.20018536,161014.0,354680.0,0.0,1749000.0,324000.0,19.5,2.333333333333333,747000.0,2025,5,2025_05,26.0,5.0
2025-06,69251798.44444445,58852441.28905365,161014.0,354680.0,0.0,2300000.0,414000.0,48.77777777777778,2.555555555555556,901250.0,2025,6,2025_06,24.0,6.0
2025-07,68864797.0,59689969.76014829,161014.0,354680.0,0.0,3213000.0,578340.0,86.6,2.8,1134000.0,2025,7,2025_07,24.0,7.0
2025-08,68331379.0,57630054.20018536,161014.0,354680.0,0.0,4500000.0,810000.0,136.5,3.25,1391250.0,2025,8,2025_08,31.0,0.0
2025-09,73908910.0,57630054.20018536,161014.0,354680.0,0.0,3656250.0,658125.0,42.75,3.0,1237500.0,2025,9,2025_09,21.0,9.0
2025-10,75456927.33333333,57630054.20018536,161014.0,354680.0,0.0,2430000.0,437400.0,36.0,2.6666666666666665,885000.0,2025,10,2025_10,22.0,9.0
2025-12,79830846.0,57630054.20018536,161014.0,354680.0,0.0,1620000.0,291600.0,4.333333333333333,2.0,810000.0,2025,12,2025_12,12.0,19.0
2026-01,80284997.0,68921222.60009268,161014.0,354680.0,0.0,900000.0,162000.0,0.5,1.5,585000.0,2026,1,2026_01,14.0,17.0
2026-04,77950447.0,66957562.10009268,161014.0,354680.0,0.0,1800000.0,324000.0,162.5,2.5,720000.0,2026,4,2026_04,5.0,25.0
2026-05,81005244.0,57630054.20018536,161014.0,354680.0,0.0,3060000.0,550800.0,129.0,4.0,765000.0,2026,5,2026_05,4.0,27.0
2026-08,79154182.5,68203735.10009268,161014.0,354680.0,0.0,5040000.0,907200.0,256.5,3.5,1440000.0,2026,8,2026_08,9.0,22.0
2022-06,32062282.666666668,57630054.20018536,161014.0,354681.0,0.0,1080000.0,194400.0,1.3333333333333333,2.333333333333333,454500.0,2022,6,2022_06,13.0,17.0
2022-07,32973756.0,57630054.20018536,161014.0,354681.0,0.0,720000.0,129600.0,4.0,1.0,720000.0,2022,7,2022_07,24.0,7.0
2022-08,33029472.14285714,57630054.20018536,161014.0,354681.0,0.0,1421857.142857143,255934.2857142857,19.0,1.8571428571428568,761857.1428571428,2022,8,2022_08,27.0,4.0
2022-09,33949918.0,57630054.20018536,161014.0,354681.0,0.0,1155500.0,207990.0,16.0,1.8333333333333333,641500.0,2022,9,2022_09,26.0,4.0
2022-10,34780500.4,57630054.20018536,161014.0,354681.0,0.0,1079200.0,194256.0,15.6,1.6,668800.0,2022,10,2022_10,16.0,15.0
2022-11,35171148.333333336,57630054.20018536,161014.0,354681.0,0.0,1218000.0,219240.0,34.333333333333336,2.0,609000.0,2022,11,2022_11,9.0,21.0
2022-12,35289324.4,57630054.20018536,161014.0,354681.0,0.0,2547000.0,458460.0,58.8,3.0,802200.0,2022,12,2022_12,18.0,13.0
2023-01,37227092.333333336,57630054.20018536,161014.0,354681.0,0.0,2190000.0,340200.0,11.333333333333334,2.6666666666666665,795000.0,2023,1,2023_01,15.0,16.0
2023-02,36432679.0,57630054.20018536,161014.0,354681.0,0.0,20790000.0,3742200.0,66.0,33.0,630000.0,2023,2,2023_02,25.0,3.0
2023-03,39808987.0,57630054.20018536,161014.0,354681.0,0.0,1234200.0,222156.0,2.6,1.6,676200.0,2023,3,2023_03,16.0,15.0
2023-04,40558148.0,57630054.20018536,161014.0,354681.0,0.0,1768333.3333333333,318300.0,7.333333333333333,2.5,730833.3333333334,2023,4,2023_04,19.0,11.0
2023-05,40681626.66666666,57630054.20018536,161014.0,354681.0,0.0,1445000.0,260100.0,33.0,1.8888888888888888,755000.0,2023,5,2023_05,25.0,6.0
2023-06,41601967.66666666,57630054.20018536,161014.0,354681.0,0.0,2167500.0,390150.0,43.66666666666666,3.0,640500.0,2023,6,2023_06,28.0,2.0
2023-07,41907234.0,57630054.20018536,161014.0,354681.0,0.0,2392500.0,430650.0,63.0,2.857142857142857,870357.1428571428,2023,7,2023_07,29.0,2.0
2023-08,43246246.0,57630054.20018536,161014.0,354681.0,0.0,3369375.0,606487.5,56.0,2.625,1256250.0,2023,8,2023_08,29.0,2.0
2023-09,45917743.4,57630054.20018536,161014.0,354681.0,0.0,2014000.0,362520.0,13.4,2.2,988000.0,2023,9,2023_09,24.0,6.0
2023-10,46860136.4,56444572.18016682,161014.0,354681.0,0.0,2098000.0,377640.0,17.0,2.9,734000.0,2023,10,2023_10,28.0,3.0
2023-11,48112303.0,57630054.20018536,161014.0,354681.0,0.0,802350.0,144423.0,9.75,1.25,644850.0,2023,11,2023_11,13.0,17.0
2023-12,49612072.5,57630054.20018536,161014.0,354681.0,0.0,2250000.0,405000.0,0.5,2.5,888750.0,2023,12,2023_12,11.0,20.0
2024-01,50402042.333333336,57630054.20018536,161014.0,354681.0,0.0,1095000.0,197100.0,3.333333333333333,2.0,555000.0,2024,1,2024_01,6.0,25.0
